50,8,,,,
13,イモ,チゲ,ツル,ユキ,
17,太陽,食事,サッカー,線路,
22,ゆかした,せなか,ふとん,こきゅう,
23,腰型,立ち席,液体,鉢植え,
27,不和,羽化,土器,カニ,
30,方言,サウンド,本体,純度,
35,ぶｎ,じゅう,がそ,かい,
37,アシスト,買い物,扱い,空き缶,
1,ますたー,マスター,,,
1,つじつま,ツジツマ,,,
1,かくさん,拡散,,,
1,かじつ,カジツ,果実,,
1,じんりき,ジンリキ,人力,,
1,ひつじかい,ヒツジカイ,羊飼い,,
1,はかいし,ハカイシ,墓石,,
1,せきゆきき,セキユキキ,石油危機,,
1,ぶいん,ブイン,部員,,
1,長生き,ながいき,ナガイキ,,
1,かくにん,確認,カクニン,,
1,しんさく,新作,シンサク,,
1,④ユキ,,,,
1,かいかいしき,カイカイシキ,開会式,,
1,よどおし,ヨドオシ,夜通し,,
2,ひらめ,ヒラメ,平目,鮃,
2,②食事,,,,
2,ぼ,,,,
2,せわずき,セワズキ,世話好き,,
2,せんい,センイ,遷移,繊維,戦意
2,きどう,キドウ,軌道,起動,機動
2,④こきゅう,,,,
2,③液体,,,,
2,マンモス,まんもす,,,
2,さくらん,錯乱,サクラン,,
2,かいたい,解体,カイタイ,,
2,③土器,,,,
2,よもぎ,ヨモギ,蓬,,
2,ひとけた,ヒトケタ,一桁,,
2,③本体,,,,
2,カメラ,,,,
2,もよう,模様,モヨウ,,
2,道楽,どうらく,ドウラク,,
2,ふうとう,封筒,フウトウ,,
2,④かい,,,,
2,うんめいてき,運命的,ウンメイテキ,,
2,①アシスト,,,,
2,乱射,,,,
2,おまいり,お参り,オマイリ,,
3,かまくら,カマクラ,鎌倉,,
3,配役,はいやく,ハイヤク,,
3,かん,,,,
3,きたい,期待,キタイ,,
3,みちひき,満ち引き,ミチヒキ,,
3,店番,みせばん,ミセバン,,
3,れんあい,レンアイ,恋愛,,
3,？,,,,
4,あかつき,暁,アカツキ,,
4,したぎ,下着,シタギ,,
5,？,,,,
